file_name,audio_id,seg_idx,start_time,end_time,sentiment
03bSnISJMiM_1.wav,03bSnISJMiM,1,51.904533,55.94535,2.4
03bSnISJMiM_2.wav,03bSnISJMiM,2,56.045124,66.78072,-0.8
03bSnISJMiM_3.wav,03bSnISJMiM,3,66.78072,68.73628,-1.0
03bSnISJMiM_4.wav,03bSnISJMiM,4,68.73628,70.542175,-1.75
03bSnISJMiM_5.wav,03bSnISJMiM,5,70.542175,71.69955,0.0
03bSnISJMiM_6.wav,03bSnISJMiM,6,71.69955,72.85692,0.0
03bSnISJMiM_7.wav,03bSnISJMiM,7,72.85692,77.79569,0.8
03bSnISJMiM_8.wav,03bSnISJMiM,8,77.79569,89.52902,0.0
03bSnISJMiM_9.wav,03bSnISJMiM,9,89.52902,92.23288,0.2
03bSnISJMiM_10.wav,03bSnISJMiM,10,92.23288,94.80703,-1.2
03bSnISJMiM_11.wav,03bSnISJMiM,11,94.80703,96.57301,-0.5
03bSnISJMiM_12.wav,03bSnISJMiM,12,96.57301,99.01746,2.2
03bSnISJMiM_13.wav,03bSnISJMiM,13,168.65918,170.24557,1.8
0h-zjBukYpk_1.wav,0h-zjBukYpk,1,33.705894,37.666893,-0.4
0h-zjBukYpk_2.wav,0h-zjBukYpk,2,43.733105,56.713604,-2.8
0h-zjBukYpk_3.wav,0h-zjBukYpk,3,56.713604,59.766666,-0.2
0h-zjBukYpk_4.wav,0h-zjBukYpk,4,59.766666,63.74762,-1.4
0h-zjBukYpk_5.wav,0h-zjBukYpk,5,63.74762,74.89229,0.8
0h-zjBukYpk_6.wav,0h-zjBukYpk,6,74.89229,83.452835,-1.4
0h-zjBukYpk_7.wav,0h-zjBukYpk,7,83.28322,87.21429,1.8
0h-zjBukYpk_8.wav,0h-zjBukYpk,8,87.21429,91.11542,0.8
0h-zjBukYpk_9.wav,0h-zjBukYpk,9,91.11542,92.89138,-1.0
0h-zjBukYpk_10.wav,0h-zjBukYpk,10,92.89138,96.26372,-0.6
0h-zjBukYpk_11.wav,0h-zjBukYpk,11,96.26372,98.00975,0.4
0h-zjBukYpk_12.wav,0h-zjBukYpk,12,98.00975,98.897736,-0.8
0h-zjBukYpk_13.wav,0h-zjBukYpk,13,98.897736,99.636055,1.25
0h-zjBukYpk_14.wav,0h-zjBukYpk,14,113.22517,120.388885,1.4
0h-zjBukYpk_15.wav,0h-zjBukYpk,15,120.388885,122.39433,0.0
0h-zjBukYpk_16.wav,0h-zjBukYpk,16,122.73356,126.40521,0.6
0h-zjBukYpk_17.wav,0h-zjBukYpk,17,126.40521,131.66327,0.2
0h-zjBukYpk_18.wav,0h-zjBukYpk,18,131.66327,137.12086,-2.0
0h-zjBukYpk_19.wav,0h-zjBukYpk,19,137.12086,140.06418,-0.4
0h-zjBukYpk_20.wav,0h-zjBukYpk,20,140.06418,147.03831,0.6
0h-zjBukYpk_21.wav,0h-zjBukYpk,21,158.78163,160.42789,2.0
0h-zjBukYpk_22.wav,0h-zjBukYpk,22,160.42789,162.69275,1.8
0h-zjBukYpk_23.wav,0h-zjBukYpk,23,162.69275,166.53401,2.6
0h-zjBukYpk_24.wav,0h-zjBukYpk,24,166.53401,167.861,2.6
0h-zjBukYpk_25.wav,0h-zjBukYpk,25,167.861,179.07552,2.2
